,extractor,reliable_positive_threshold,algorithn,prior,balanced_accuracy,accuracy,f1
134,clip-ViT-B-32,6.129032,probtag,0.9,0.5,0.28992147878360647,0.0
135,clip-ViT-B-32,6.129032,nnpu,0.1,0.5003722802856907,0.29045017525308897,0.001488013226784238
136,clip-ViT-B-32,6.129032,nnpu,0.2,0.5389891468919581,0.3462570248095714,0.14849010406039584
137,clip-ViT-B-32,6.129032,nnpu,0.3,0.5591768477061159,0.37611858465996983,0.21941837959673666
138,clip-ViT-B-32,6.129032,nnpu,0.4,0.6517955836909405,0.5226066694080558,0.505997730588426
139,clip-ViT-B-32,6.129032,nnpu,0.5,0.7157201043859163,0.645342575730874,0.6870334531379597
140,clip-ViT-B-32,6.129032,nnpu,0.6,0.7168686069753019,0.7563688343221916,0.8253803402009767
141,clip-ViT-B-32,6.129032,nnpu,0.7,0.6896844939991038,0.7786328300926197,0.8525671957119941
142,clip-ViT-B-32,6.129032,nnpu,0.8,0.5817193296787642,0.7480663416162446,0.8464127969440134
143,clip-ViT-B-32,6.129032,nnpu,0.9,0.5102467177467878,0.7157766942763711,0.8331590018276072
144,clip-ViT-B-32,6.307692,probtag,0.1,0.5000137881587293,0.2899410601343281,5.515111405250386e-05
145,clip-ViT-B-32,6.307692,probtag,0.2,0.5,0.28992147878360647,0.0
146,clip-ViT-B-32,6.307692,probtag,0.3,0.5,0.28992147878360647,0.0
147,clip-ViT-B-32,6.307692,probtag,0.4,0.5,0.28992147878360647,0.0
148,clip-ViT-B-32,6.307692,probtag,0.5,0.5,0.28992147878360647,0.0
149,clip-ViT-B-32,6.307692,probtag,0.6,0.5,0.28992147878360647,0.0
150,clip-ViT-B-32,6.307692,probtag,0.7,0.5,0.28992147878360647,0.0
151,clip-ViT-B-32,6.307692,probtag,0.8,0.5,0.28992147878360647,0.0
152,clip-ViT-B-32,6.307692,probtag,0.9,0.5,0.28992147878360647,0.0
153,clip-ViT-B-32,6.307692,nnpu,0.1,0.5007445605713813,0.2909788717225714,0.002973813916347716
154,clip-ViT-B-32,6.307692,nnpu,0.2,0.5221535871698775,0.3217803364076054,0.08655519805896937
155,clip-ViT-B-32,6.307692,nnpu,0.3,0.5444272838602378,0.35420705320252993,0.16780217007317688
156,clip-ViT-B-32,6.307692,nnpu,0.4,0.6609621883391409,0.5380367737766552,0.5310673822301729
157,clip-ViT-B-32,6.307692,nnpu,0.5,0.6882528769096558,0.5870097319313087,0.6060039976835851
158,clip-ViT-B-32,6.307692,nnpu,0.6,0.7322108688767934,0.6978205956646889,0.7534824281150161
