,extractor,reliable_positive_threshold,classifier,detector,balanced_accuracy,accuracy,f1
40,clip-ViT-B-32,0.65,logistic,k-means,0.5396542043776285,0.6177524525641779,0.729404915374059
41,clip-ViT-B-32,0.65,logistic,knn,0.5779603559537498,0.6862284360375178,0.7908912958371396
42,clip-ViT-B-32,0.65,kneighbours,k-means,0.5181130867342532,0.6054357829603086,0.7232142857142858
43,clip-ViT-B-32,0.65,kneighbours,knn,0.5318737669278331,0.6844856958232979,0.8011501770927176
44,clip-ViT-B-32,0.65,qda,k-means,0.5115269928919072,0.7105288922829897,0.828569109273712
45,clip-ViT-B-32,0.65,qda,knn,0.5407701409862791,0.5972311970079696,0.7041921334579708
46,clip-ViT-B-32,0.65,naivebayes,k-means,0.512610273188106,0.5995222150423937,0.7184161251239122
47,clip-ViT-B-32,0.65,naivebayes,knn,0.52573844045789,0.6696430319763458,0.7886925263962125
48,clip-ViT-B-32,0.65,logistic,k-means,0.5396542043776285,0.6177524525641779,0.729404915374059
49,clip-ViT-B-32,0.65,logistic,knn,0.5779603559537498,0.6862284360375178,0.7908912958371396
50,clip-ViT-B-32,0.65,kneighbours,k-means,0.5181130867342532,0.6054357829603086,0.7232142857142858
51,clip-ViT-B-32,0.65,kneighbours,knn,0.5318737669278331,0.6844856958232979,0.8011501770927176
52,clip-ViT-B-32,0.65,qda,k-means,0.5115269928919072,0.7105288922829897,0.828569109273712
53,clip-ViT-B-32,0.65,qda,knn,0.5407701409862791,0.5972311970079696,0.7041921334579708
54,clip-ViT-B-32,0.65,naivebayes,k-means,0.512610273188106,0.5995222150423937,0.7184161251239122
55,clip-ViT-B-32,0.65,naivebayes,knn,0.52573844045789,0.6696430319763458,0.7886925263962125
56,clip-ViT-B-32,0.7,logistic,k-means,0.5300367867255393,0.5264250327987624,0.6099382287953808
57,clip-ViT-B-32,0.7,logistic,knn,0.563195853849451,0.6846423466290704,0.7933003914522235
58,clip-ViT-B-32,0.7,kneighbours,k-means,0.5044792630022606,0.43141631909769135,0.4522664252164564
59,clip-ViT-B-32,0.7,kneighbours,knn,0.5316773401443473,0.6843486263682469,0.8010711553175212
60,clip-ViT-B-32,0.7,qda,k-means,0.5362259704549578,0.7013648201452937,0.815468196062773
61,clip-ViT-B-32,0.7,qda,knn,0.5578164026968409,0.47410366367072,0.49195089192819175
62,clip-ViT-B-32,0.7,naivebayes,k-means,0.5153576620622983,0.5641778769899548,0.6729845285846521
63,clip-ViT-B-32,0.7,naivebayes,knn,0.5313202784247754,0.6660204820928548,0.7836686030288426
