,extractor,reliable_positive_threshold,classifier,detector,balanced_accuracy,accuracy,f1
46,clip-ViT-B-32,5.865385,naivebayes,k-means,0.487204889494529,0.5508429771485637,0.6688036039157932
47,clip-ViT-B-32,5.865385,naivebayes,knn,0.6154154281707165,0.6089408447394701,0.6854316631751382
48,clip-ViT-B-32,5.987416,logistic,k-means,0.5728437924467107,0.6113101881767804,0.7082426950438003
49,clip-ViT-B-32,5.987416,logistic,knn,0.6923998551578417,0.7352405568936146,0.8099194466703218
50,clip-ViT-B-32,5.987416,kneighbours,k-means,0.5079167554602608,0.5443028060075584,0.6494652809158005
51,clip-ViT-B-32,5.987416,kneighbours,knn,0.6109796622181605,0.6849360668898941,0.7800951235512793
52,clip-ViT-B-32,5.987416,qda,k-means,0.4870729791130833,0.4872035873034522,0.5744279771190848
53,clip-ViT-B-32,5.987416,qda,knn,0.5725696822494143,0.656523526992892,0.7615383569651573
54,clip-ViT-B-32,5.987416,naivebayes,k-means,0.4661279641929098,0.5577160312518358,0.6871736631441907
55,clip-ViT-B-32,5.987416,naivebayes,knn,0.6167346400107319,0.6028118819636179,0.6760261938987382
56,clip-ViT-B-32,6.129032,logistic,k-means,0.5961666007630053,0.6142669721357379,0.7018059066620246
57,clip-ViT-B-32,6.129032,logistic,knn,0.7001446283421464,0.7281912706338484,0.8002762550179134
58,clip-ViT-B-32,6.129032,kneighbours,k-means,0.5566615033181596,0.5636687618711939,0.6510921474986299
59,clip-ViT-B-32,6.129032,kneighbours,knn,0.6017624494585199,0.6740879985901428,0.7712856593195185
60,clip-ViT-B-32,6.129032,qda,k-means,0.5457354929246631,0.5546221778378273,0.6438246762398409
61,clip-ViT-B-32,6.129032,qda,knn,0.5723390802768802,0.6499246117997219,0.7543555921956582
62,clip-ViT-B-32,6.129032,naivebayes,k-means,0.5265109731300244,0.5514695803716541,0.6497553516819571
63,clip-ViT-B-32,6.129032,naivebayes,knn,0.6139405608140887,0.5901035853453171,0.6587659955986633
64,clip-ViT-B-32,6.307692,logistic,k-means,0.5868891004294206,0.6115060016839962,0.7023434452545984
65,clip-ViT-B-32,6.307692,logistic,knn,0.694643775087376,0.7148172080910141,0.7871569286528513
66,clip-ViT-B-32,6.307692,kneighbours,k-means,0.5244830866227634,0.5477099610331121,0.6454425444386455
67,clip-ViT-B-32,6.307692,kneighbours,knn,0.6049239515157604,0.6603027276821555,0.7549025148346991
68,clip-ViT-B-32,6.307692,qda,k-means,0.4929402289856495,0.4857741487007774,0.5678979843685725
69,clip-ViT-B-32,6.307692,qda,knn,0.5701970601112576,0.6450096927686072,0.7495890713703606
70,clip-ViT-B-32,6.307692,naivebayes,k-means,0.47085792564652246,0.5714425581076583,0.7018174882149377
71,clip-ViT-B-32,6.307692,naivebayes,knn,0.6147988499479888,0.5858740135894575,0.6518396575849865
72,clip-ViT-B-32,6.574194,logistic,k-means,0.5778081833301298,0.6200630519493234,0.7171698030698366
73,clip-ViT-B-32,6.574194,logistic,knn,0.6922731756346685,0.6978010143139673,0.7682558750656957
74,clip-ViT-B-32,6.574194,kneighbours,k-means,0.5340028305452725,0.5712467446004426,0.6734572135890476
75,clip-ViT-B-32,6.574194,kneighbours,knn,0.6066864061893071,0.6367267814133819,0.7261212318048953
76,clip-ViT-B-32,6.574194,qda,k-means,0.4852173076954811,0.5264250327987624,0.6362556212305793
77,clip-ViT-B-32,6.574194,qda,knn,0.5683248263268447,0.6285026141103214,0.7311910226982912
78,clip-ViT-B-32,6.574194,naivebayes,k-means,0.4678313773114494,0.5562474299477178,0.6846104600996464
79,clip-ViT-B-32,6.574194,naivebayes,knn,0.5987070415368589,0.5621414165149112,0.6240016142321467
80,clip-ViT-B-32,7.069421,logistic,k-means,0.5413867182777519,0.6077268009947326,0.7168440543329234
81,clip-ViT-B-32,7.069421,logistic,knn,0.6732580903907135,0.6640427656699759,0.7335662706731889
82,clip-ViT-B-32,7.069421,kneighbours,k-means,0.5031473926156016,0.5607707219644011,0.6742946753982199
83,clip-ViT-B-32,7.069421,kneighbours,knn,0.5836335993740835,0.5850320155084298,0.6676390326526772
84,clip-ViT-B-32,7.069421,qda,k-means,0.5511743171589931,0.5966829191877656,0.6989930875239306
85,clip-ViT-B-32,7.069421,qda,knn,0.5544497321672052,0.5457714073116764,0.6253169872882042
86,clip-ViT-B-32,7.069421,naivebayes,k-means,0.5665477956529986,0.5207268597387847,0.5754821701123908
87,clip-ViT-B-32,7.069421,naivebayes,knn,0.5803132326961523,0.5295776302649357,0.5811277330264671
88,clip-ViT-B-16,5.386517,logistic,k-means,0.5684369400935216,0.6728739548454052,0.780068457082675
89,clip-ViT-B-16,5.386517,logistic,knn,0.613946329006387,0.7272317844484912,0.8214377275290982
90,clip-ViT-B-16,5.386517,kneighbours,k-means,0.5187973290002816,0.6198868197928293,0.7393942648480293
91,clip-ViT-B-16,5.386517,kneighbours,knn,0.5328847231816578,0.6992304529166422,0.8143178356422717
92,clip-ViT-B-16,5.386517,qda,k-means,0.5291332777205344,0.5851886663142023,0.6940320064706221
93,clip-ViT-B-16,5.386517,qda,knn,0.5504287340698295,0.6576005012825785,0.7696361288962663
94,clip-ViT-B-16,5.386517,naivebayes,k-means,0.513136304574321,0.5464371732362099,0.6497194791839944
95,clip-ViT-B-16,5.386517,naivebayes,knn,0.5803711325327614,0.6409563531692416,0.7413311514262336
96,clip-ViT-B-16,5.475771,logistic,k-means,0.5215064693768832,0.6321055826430907,0.7518163324614938
97,clip-ViT-B-16,5.475771,logistic,knn,0.6357832848843051,0.7365916700934031,0.8252169845642119
98,clip-ViT-B-16,5.475771,kneighbours,k-means,0.4860852809481593,0.5815465350799898,0.7076687368334657
99,clip-ViT-B-16,5.475771,kneighbours,knn,0.5544338701040121,0.7001507764005561,0.8101937355132194
100,clip-ViT-B-16,5.475771,qda,k-means,0.5185473336463119,0.5753196655505297,0.6861178649994211
101,clip-ViT-B-16,5.475771,qda,knn,0.5534773484876453,0.6566801777986645,0.7677409953768098
102,clip-ViT-B-16,5.475771,naivebayes,k-means,0.5265556696359255,0.5745755742231099,0.681455633100698
103,clip-ViT-B-16,5.475771,naivebayes,knn,0.5846200636263832,0.6400947737374925,0.7387571777815681
104,clip-ViT-B-16,5.566116,logistic,k-means,0.5993673235478593,0.6524114433413617,0.7477727098341788
105,clip-ViT-B-16,5.566116,logistic,knn,0.6693785824930227,0.7513560085374689,0.831582577325057
106,clip-ViT-B-16,5.566116,kneighbours,k-means,0.5503755687326787,0.5944702265562278,0.6965034145197689
