,extractor,reliable_positive_threshold,classifier,detector,balanced_accuracy,accuracy,f1
46,clip-ViT-L-14,5.865385,naivebayes,k-means,0.5724535799183825,0.5496876774559909,0.6204175951143023
47,clip-ViT-L-14,5.865385,naivebayes,knn,0.6208823893379013,0.6560927372770173,0.7442442952629202
48,clip-ViT-L-14,5.987416,logistic,k-means,0.5526084737803103,0.6171650120425307,0.7237505828493918
49,clip-ViT-L-14,5.987416,logistic,knn,0.7111472381688537,0.7644755135209227,0.834802911687955
50,clip-ViT-L-14,5.987416,kneighbours,k-means,0.5117521991740671,0.5666059644794298,0.6779108517542966
51,clip-ViT-L-14,5.987416,kneighbours,knn,0.60692466959517,0.708179130196401,0.8049320017277712
52,clip-ViT-L-14,5.987416,qda,k-means,0.4715332623227948,0.5321623685601833,0.6514965867320147
53,clip-ViT-L-14,5.987416,qda,knn,0.6079842056874569,0.6484168477941609,0.7398919294789146
54,clip-ViT-L-14,5.987416,naivebayes,k-means,0.4797493249417689,0.5538193424582428,0.6761788363698377
55,clip-ViT-L-14,5.987416,naivebayes,knn,0.6206835655045323,0.6497092169417846,0.7365972171096223
56,clip-ViT-L-14,6.129032,logistic,k-means,0.5900161786525785,0.5959975719125106,0.6799056720863845
57,clip-ViT-L-14,6.129032,logistic,knn,0.7138052703501815,0.7530400046995241,0.8227506535121005
58,clip-ViT-L-14,6.129032,kneighbours,k-means,0.5233442690834105,0.5086060036421313,0.5852545986414796
59,clip-ViT-L-14,6.129032,kneighbours,knn,0.6054354543956715,0.6968415281286103,0.7940401756019689
60,clip-ViT-L-14,6.129032,qda,k-means,0.48301817274105496,0.5037498286631812,0.6037246102606602
61,clip-ViT-L-14,6.129032,qda,knn,0.6059080447933116,0.6409563531692416,0.7316552026928143
62,clip-ViT-L-14,6.129032,naivebayes,k-means,0.5184100396808047,0.5245843858309346,0.6142700538582527
63,clip-ViT-L-14,6.129032,naivebayes,knn,0.6181397899072012,0.641073841273571,0.726907032181168
64,clip-ViT-L-14,6.307692,logistic,k-means,0.6069837064939032,0.6232156494154967,0.7087457996548905
65,clip-ViT-L-14,6.307692,logistic,knn,0.7137286718482256,0.7383735730090661,0.807420112714222
66,clip-ViT-L-14,6.307692,kneighbours,k-means,0.5391806100873022,0.5668801033895318,0.6648890235588213
