ඞcollection_urlඞname_and_countryඞcollection_nameඞplaceඞmain_categoryඞsecondary_categoryඞyearඞphoto_url
22ඞhttps://photoawards.com/winner/zoom.php?eid=8-10213-09ඞljubodrag ANDRIC, CanadaඞIGAඞ2nd PlaceඞAdvertisingඞ Foodඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-10213-09_IPA_Andric_IGA_Sangria.jpg
22ඞhttps://photoawards.com/winner/zoom.php?eid=8-10213-09ඞljubodrag ANDRIC, CanadaඞIGAඞ2nd PlaceඞAdvertisingඞ Foodඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-10213-09_IPA_Andric_IGA_salad.jpg
22ඞhttps://photoawards.com/winner/zoom.php?eid=8-10213-09ඞljubodrag ANDRIC, CanadaඞIGAඞ2nd PlaceඞAdvertisingඞ Foodඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-10213-09_IPA_Andric_IGA_Blender.jpg
22ඞhttps://photoawards.com/winner/zoom.php?eid=8-10213-09ඞljubodrag ANDRIC, CanadaඞIGAඞ2nd PlaceඞAdvertisingඞ Foodඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-10213-09_IPA_Andric_IGA_Coffee.jpg
22ඞhttps://photoawards.com/winner/zoom.php?eid=8-10213-09ඞljubodrag ANDRIC, CanadaඞIGAඞ2nd PlaceඞAdvertisingඞ Foodඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-10213-09_IPA_Andric_IGA_Shrimp.jpg
23ඞhttps://photoawards.com/winner/zoom.php?eid=8-6408-09ඞMelody Deas, South AfricaඞBoerewors ඞ3rd PlaceඞAdvertisingඞ Foodඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-6408-09_IPA_boerewors01.jpg
23ඞhttps://photoawards.com/winner/zoom.php?eid=8-6408-09ඞMelody Deas, South AfricaඞBoerewors ඞ3rd PlaceඞAdvertisingඞ Foodඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-6408-09_IPA_boerewors02.jpg
23ඞhttps://photoawards.com/winner/zoom.php?eid=8-6408-09ඞMelody Deas, South AfricaඞBoerewors ඞ3rd PlaceඞAdvertisingඞ Foodඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-6408-09_IPA_boerewors03.jpg
23ඞhttps://photoawards.com/winner/zoom.php?eid=8-6408-09ඞMelody Deas, South AfricaඞBoerewors ඞ3rd PlaceඞAdvertisingඞ Foodඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-6408-09_IPA_boerewors04.jpg
23ඞhttps://photoawards.com/winner/zoom.php?eid=8-6408-09ඞMelody Deas, South AfricaඞBoerewors ඞ3rd PlaceඞAdvertisingඞ Foodඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-6408-09_IPA_boerewors05.jpg
24ඞhttps://photoawards.com/winner/zoom.php?eid=8-1241-09ඞAndy Batt, United StatesඞMarch Fourth Marching Bandඞ1st PlaceඞAdvertisingඞ Musicඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-1241-09_IPA_andybatt_ca09_05.jpg
24ඞhttps://photoawards.com/winner/zoom.php?eid=8-1241-09ඞAndy Batt, United StatesඞMarch Fourth Marching Bandඞ1st PlaceඞAdvertisingඞ Musicඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-1241-09_IPA_andybatt_ca09_03.jpg
24ඞhttps://photoawards.com/winner/zoom.php?eid=8-1241-09ඞAndy Batt, United StatesඞMarch Fourth Marching Bandඞ1st PlaceඞAdvertisingඞ Musicඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-1241-09_IPA_andybatt_ca09_02.jpg
24ඞhttps://photoawards.com/winner/zoom.php?eid=8-1241-09ඞAndy Batt, United StatesඞMarch Fourth Marching Bandඞ1st PlaceඞAdvertisingඞ Musicඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-1241-09_IPA_andybatt_ca09_04.jpg
24ඞhttps://photoawards.com/winner/zoom.php?eid=8-1241-09ඞAndy Batt, United StatesඞMarch Fourth Marching Bandඞ1st PlaceඞAdvertisingඞ Musicඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-1241-09_IPA_andybatt_ca09_07.jpg
25ඞhttps://photoawards.com/winner/zoom.php?eid=8-12376-09ඞAstor Morgan, United StatesඞRaphael Saadiqඞ2nd PlaceඞAdvertisingඞ Musicඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-12376-09_IPA_Rafael Saadiq_copyright Astor Morgan, 2008_IPA.jpg
26ඞhttps://photoawards.com/winner/zoom.php?eid=8-8741-09ඞHugh Hamilton, United StatesඞJosh Pykeඞ3rd PlaceඞAdvertisingඞ Musicඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-8741-09_IPA__MG_1560-Edit.jpg
27ඞhttps://photoawards.com/winner/zoom.php?eid=8-11900-09ඞAndreas Smetana, AustraliaඞWWF - World Wildlife Foundationඞ1st PlaceඞAdvertisingඞ Otherඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-11900-09_IPA_WWF_1.jpg
27ඞhttps://photoawards.com/winner/zoom.php?eid=8-11900-09ඞAndreas Smetana, AustraliaඞWWF - World Wildlife Foundationඞ1st PlaceඞAdvertisingඞ Otherඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-11900-09_IPA_WWF_2.jpg
27ඞhttps://photoawards.com/winner/zoom.php?eid=8-11900-09ඞAndreas Smetana, AustraliaඞWWF - World Wildlife Foundationඞ1st PlaceඞAdvertisingඞ Otherඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-11900-09_IPA_WWF_3.jpg
27ඞhttps://photoawards.com/winner/zoom.php?eid=8-11900-09ඞAndreas Smetana, AustraliaඞWWF - World Wildlife Foundationඞ1st PlaceඞAdvertisingඞ Otherඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-11900-09_IPA_WWF_4.jpg
28ඞhttps://photoawards.com/winner/zoom.php?eid=8-10492-09ඞSimon  Harsent, United StatesඞWWF Gorilla ඞ2nd PlaceඞAdvertisingඞ Otherඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-10492-09_IPA_1.jpg
28ඞhttps://photoawards.com/winner/zoom.php?eid=8-10492-09ඞSimon  Harsent, United StatesඞWWF Gorilla ඞ2nd PlaceඞAdvertisingඞ Otherඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-10492-09_IPA_3.jpg
28ඞhttps://photoawards.com/winner/zoom.php?eid=8-10492-09ඞSimon  Harsent, United StatesඞWWF Gorilla ඞ2nd PlaceඞAdvertisingඞ Otherඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-10492-09_IPA_4.jpg
29ඞhttps://photoawards.com/winner/zoom.php?eid=8-9861-09ඞKelvin Murray, United KingdomඞAnti Smokingඞ3rd PlaceඞAdvertisingඞ Otherඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-9861-09_IPA_KM1.jpg
29ඞhttps://photoawards.com/winner/zoom.php?eid=8-9861-09ඞKelvin Murray, United KingdomඞAnti Smokingඞ3rd PlaceඞAdvertisingඞ Otherඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-9861-09_IPA_KM2.jpg
29ඞhttps://photoawards.com/winner/zoom.php?eid=8-9861-09ඞKelvin Murray, United KingdomඞAnti Smokingඞ3rd PlaceඞAdvertisingඞ Otherඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-9861-09_IPA_KM3.jpg
30ඞhttps://photoawards.com/winner/zoom.php?eid=8-11896-09ඞAndreas Smetana, AustraliaඞAFLඞ1st PlaceඞAdvertisingඞ Productඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-11896-09_IPA_AFL_1.jpg
30ඞhttps://photoawards.com/winner/zoom.php?eid=8-11896-09ඞAndreas Smetana, AustraliaඞAFLඞ1st PlaceඞAdvertisingඞ Productඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-11896-09_IPA_AFL_2.jpg
31ඞhttps://photoawards.com/winner/zoom.php?eid=8-11898-09ඞAndreas Smetana, AustraliaඞHeinekenඞ2nd PlaceඞAdvertisingඞ Productඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-11898-09_IPA_Heineken_1.jpg
31ඞhttps://photoawards.com/winner/zoom.php?eid=8-11898-09ඞAndreas Smetana, AustraliaඞHeinekenඞ2nd PlaceඞAdvertisingඞ Productඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-11898-09_IPA_Heineken_2.jpg
32ඞhttps://photoawards.com/winner/zoom.php?eid=8-3538-09ඞJohn Clang, United StatesඞOn Pedderඞ3rd PlaceඞAdvertisingඞ Productඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-3538-09_IPA_Alaia.jpg
32ඞhttps://photoawards.com/winner/zoom.php?eid=8-3538-09ඞJohn Clang, United StatesඞOn Pedderඞ3rd PlaceඞAdvertisingඞ Productඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-3538-09_IPA_Givenchy.jpg
32ඞhttps://photoawards.com/winner/zoom.php?eid=8-3538-09ඞJohn Clang, United StatesඞOn Pedderඞ3rd PlaceඞAdvertisingඞ Productඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-3538-09_IPA_Louboutin.jpg
32ඞhttps://photoawards.com/winner/zoom.php?eid=8-3538-09ඞJohn Clang, United StatesඞOn Pedderඞ3rd PlaceඞAdvertisingඞ Productඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-3538-09_IPA_RickOwens.jpg
32ඞhttps://photoawards.com/winner/zoom.php?eid=8-3538-09ඞJohn Clang, United StatesඞOn Pedderඞ3rd PlaceඞAdvertisingඞ Productඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-3538-09_IPA_Thierry.jpg
33ඞhttps://photoawards.com/winner/zoom.php?eid=8-2243-09ඞTimothy Bailey, United StatesඞThe Great Outdoorsඞ1st PlaceඞAdvertisingඞ Self-Promotionඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-2243-09_IPA_AC1.jpg
33ඞhttps://photoawards.com/winner/zoom.php?eid=8-2243-09ඞTimothy Bailey, United StatesඞThe Great Outdoorsඞ1st PlaceඞAdvertisingඞ Self-Promotionඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-2243-09_IPA_AC2.jpg
33ඞhttps://photoawards.com/winner/zoom.php?eid=8-2243-09ඞTimothy Bailey, United StatesඞThe Great Outdoorsඞ1st PlaceඞAdvertisingඞ Self-Promotionඞ2009ඞhttps://s3-us-west-2.amazonaws.com/photoawardscom/upload/2007/large/8-2243-09_IPA_AC3.jpg
