,extractor,quantile,prior,balanced_accuracy,accuracy,f1
56,clip-ViT-B-32,5.566116,0.3,0.568264644915949,0.389081438837651,0.24790878191066218
57,clip-ViT-B-32,5.566116,0.4,0.6644649096091114,0.5407977442283969,0.5337309871756636
58,clip-ViT-B-32,5.566116,0.5,0.7437662166151808,0.7039299770898196,0.7568584568874024
59,clip-ViT-B-32,5.566116,0.6,0.7347015825062577,0.7782607844289099,0.8430013309671693
60,clip-ViT-B-32,5.566116,0.7,0.6884596517965996,0.7864849517319704,0.8597664488914039
61,clip-ViT-B-32,5.566116,0.8,0.5682855869741351,0.7453053711645029,0.8465775722761533
62,clip-ViT-B-32,5.566116,0.9,0.5132494548276024,0.7174019463862618,0.8339164058184496
63,clip-ViT-B-16,5.566116,0.1,0.5,0.28992147878360647,0.0
64,clip-ViT-B-16,5.566116,0.2,0.5094662712712708,0.3033934480800486,0.037290612399534545
65,clip-ViT-B-16,5.566116,0.3,0.5617046560084603,0.37905578726820577,0.22506781359204325
66,clip-ViT-B-16,5.566116,0.4,0.7231357674637964,0.6443243454933522,0.6813668736624214
67,clip-ViT-B-16,5.566116,0.5,0.7549133990949969,0.730913078384147,0.7864491064491065
68,clip-ViT-B-16,5.566116,0.6,0.7422590803481026,0.7823532867297186,0.8453436112927687
69,clip-ViT-B-16,5.566116,0.7,0.6807328993241396,0.7884235054534062,0.8628197803592966
70,clip-ViT-B-16,5.566116,0.8,0.565862761820381,0.7448158373964636,0.8466137802782421
71,clip-ViT-B-16,5.566116,0.9,0.512314287815303,0.7170103193718302,0.8337742402981297
72,clip-ViT-L-14,5.566116,0.1,0.5,0.28992147878360647,0.0
73,clip-ViT-L-14,5.566116,0.2,0.5081350136502771,0.30147447570933444,0.03201910292242151
74,clip-ViT-L-14,5.566116,0.3,0.5924803245135444,0.42585521549276467,0.3264030875967746
75,clip-ViT-L-14,5.566116,0.4,0.7059913896776193,0.6105269341479175,0.6358076683634233
76,clip-ViT-L-14,5.566116,0.5,0.7400444707324847,0.6816463999686698,0.7283542188805346
77,clip-ViT-L-14,5.566116,0.6,0.7365148967300437,0.7830777967064169,0.8472674130039155
78,clip-ViT-L-14,5.566116,0.7,0.6922523602271367,0.7907928488907164,0.8628498074454428
79,clip-ViT-L-14,5.566116,0.8,0.6076537964805713,0.764181793260099,0.8551357463341874
80,clip-ViT-L-14,5.566116,0.9,0.5187160081051799,0.7203978930466624,0.83533034262452
81,clip-ViT-B-32,5.660284,0.1,0.5000413644761879,0.2899802228357712,0.00016544421772459052
82,clip-ViT-B-32,5.660284,0.2,0.5063425530154703,0.29892890011552997,0.02505241946464069
83,clip-ViT-B-32,5.660284,0.3,0.5646127748067293,0.38369656738921853,0.23595669272224112
84,clip-ViT-B-32,5.660284,0.4,0.6836599877829054,0.5731657169711567,0.5832759807295251
85,clip-ViT-B-32,5.660284,0.5,0.7467868207507964,0.7269772268891108,0.7844477081239855
86,clip-ViT-B-32,5.660284,0.6,0.7397258242051148,0.7652196048483424,0.8288121073672188
87,clip-ViT-B-32,5.660284,0.7,0.6695002192713952,0.7810413362313733,0.8584413611504963
88,clip-ViT-B-32,5.660284,0.8,0.6026913668197837,0.7605396620258865,0.8529938572132665
89,clip-ViT-B-32,5.660284,0.9,0.5128180379989139,0.7171865515283244,0.8338223280752016
90,clip-ViT-B-16,5.660284,0.1,0.5000137881587293,0.2899410601343281,5.515111405250386e-05
91,clip-ViT-B-16,5.660284,0.2,0.5061984776524306,0.2987526679590358,0.024621418455169408
92,clip-ViT-B-16,5.660284,0.3,0.6092643420756095,0.45068436820771896,0.37475204493280134
93,clip-ViT-B-16,5.660284,0.4,0.675496308247041,0.5587342614893576,0.5613283759319462
